@relation 'dataset-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-DC:\\Users\\ngocl\\eclipse-workspace\\datn-be-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {Sofa,BanGhe,Giuong,Ke}

@data
255,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,BanGhe
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,10,114,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,34,0,0,0,25,255,3,0,0,2,9,0,0,0,0,0,0,0,0,0,10,50,0,0,0,2,93,BanGhe
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,66,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,154,6,0,0,96,102,BanGhe
99,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,13,70,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,17,4,0,0,18,87,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,21,5,0,0,29,255,BanGhe
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,48,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,192,0,0,0,151,191,BanGhe
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,255,BanGhe
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,49,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,255,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,101,0,0,0,17,34,BanGhe
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,255,BanGhe
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,BanGhe
28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,48,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,144,7,0,0,118,192,BanGhe
136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,5,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,7,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12,255,BanGhe
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,68,255,BanGhe
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,BanGhe
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,51,255,BanGhe
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,51,255,BanGhe
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,59,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,255,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,119,0,0,0,21,36,BanGhe
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,255,BanGhe
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70,2,0,0,72,255,BanGhe
