@relation dataset
@attribute image string
@attribute class {Sofa, BanGhe, Ban, Ghe, Giuong, Ke}
@data
"test\\ban_2.jpg", Ban
"test\\ban_3.jpg", Ban
"test\\ban_4.jpg", Ban
"test\\ban_5.jpg", Ban
"test\\ban_6.jpg", Ban
"test\\ban_7.jpg", Ban
"test\\ban_8.jpg", Ban
"test\\ban_9.jpg", Ban
"test\\ban_10.jpg", Ban
"test\\ban_11.jpg", Ban
"test\\ban_12.jpg", Ban
"test\\ban_13.jpg", Ban
"test\\ban_14.jpg", Ban
"test\\ban_15.jpg", Ban
"test\\ban_16.jpg", Ban
"test\\ban_17.jpg", Ban
"test\\ban_18.jpg", Ban
"test\\ban_19.jpg", Ban
"test\\ban_20.jpg", Ban
"test\\ban_21.jpg", Ban
"test\\ban_22.jpg", Ban
"test\\ban_23.jpg", Ban
"test\\ban_24.jpg", Ban
"test\\ban_25.jpg", Ban
"test\\ban_26.jpg", Ban
"test\\ban_27.jpg", Ban
"test\\ban_28.jpg", Ban
"test\\ban_29.jpg", Ban
"test\\ban_30.jpg", Ban
"test\\ban_31.jpg", Ban
"test\\ban_32.jpg", Ban
"test\\ban_33.jpg", Ban
"test\\ban_34.jpg", Ban
"test\\ban_35.jpg", Ban
"test\\ban_36.jpg", Ban
"test\\ban_37.jpg", Ban
"test\\ban_38.jpg", Ban
"test\\ban_39.jpg", Ban
"test\\ban_40.jpg", Ban
"test\\ban_41.jpg", Ban
"test\\ban_42.jpg", Ban
"test\\ban_43.jpg", Ban
"test\\ban_44.jpg", Ban
"test\\ban_45.jpg", Ban
"test\\ban_46.jpg", Ban
"test\\ban_47.jpg", Ban
"test\\ban_48.jpg", Ban
"test\\ban_49.jpg", Ban
"test\\ban_50.jpg", Ban
"test\\ban_51.jpg", Ban
"test\\ban_52.jpg", Ban
"test\\ban_53.jpg", Ban
"test\\ban_54.jpg", Ban
"test\\ban_55.jpg", Ban
"test\\ban_56.jpg", Ban
"test\\ban_57.jpg", Ban
"test\\ban_58.jpg", Ban
"test\\ban_59.jpg", Ban
"test\\ban_60.jpg", Ban
"test\\ban_61.jpg", Ban
"test\\ban_62.jpg", Ban
"test\\ban_63.jpg", Ban
"test\\ban_64.jpg", Ban
"test\\ban_65.jpg", Ban
"test\\ban_66.jpg", Ban
"test\\ban_67.jpg", Ban
"test\\ban_68.jpg", Ban
"test\\ban_69.jpg", Ban
"test\\ban_70.jpg", Ban
"test\\ban_71.jpg", Ban
"test\\ban_72.jpg", Ban
"test\\ban_73.jpg", Ban
"test\\ban_74.jpg", Ban
"test\\ban_75.jpg", Ban
"test\\ban_76.jpg", Ban
"test\\ban_77.jpg", Ban
"test\\ban_78.jpg", Ban
"test\\ban_79.jpg", Ban
"test\\ban_80.jpg", Ban
"test\\ban_81.jpg", Ban
"test\\ban_82.jpg", Ban
"test\\ban_83.jpg", Ban
"test\\ban_84.jpg", Ban
"test\\ban_85.jpg", Ban
"test\\ban_86.jpg", Ban
"test\\ban_87.jpg", Ban
"test\\ban_88.jpg", Ban
"test\\ban_89.jpg", Ban
"test\\ban_90.jpg", Ban
"test\\ban_91.jpg", Ban
"test\\ban_92.jpg", Ban
"test\\ban_93.jpg", Ban
"test\\ban_94.jpg", Ban
"test\\ban_95.jpg", Ban
"test\\ban_96.jpg", Ban
"test\\ban_97.jpg", Ban
"test\\ban_98.jpg", Ban
"test\\ban_99.jpg", Ban
"test\\ban_100.jpg", Ban
"test\\ban_101.jpg", Ban
"test\\ban_102.jpg", Ban
"test\\ban_103.jpg", Ban
"test\\ban_104.jpg", Ban
"test\\ban_105.jpg", Ban
"test\\ban_106.jpg", Ban
"test\\ban_107.jpg", Ban
"test\\ban_108.jpg", Ban
"test\\ban_109.jpg", Ban
"test\\ban_110.jpg", Ban
"test\\ban_111.jpg", Ban
"test\\ban_112.jpg", Ban
"test\\ban_113.jpg", Ban
"test\\ban_114.jpg", Ban
"test\\ban_115.jpg", Ban
"test\\ban_116.jpg", Ban
"test\\ban_117.jpg", Ban
"test\\ban_118.jpg", Ban
"test\\ban_119.jpg", Ban
"test\\ban_120.jpg", Ban
"test\\ban_121.jpg", Ban
