@relation 'image-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-DC:\\Users\\ngocl\\eclipse-workspace\\datn-be'

@attribute image string
@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {Sofa,BanGhe,Ban,Ghe,Cay,Giuong,Ke}

@data
'innovia\\ban-ghe-phong-an-1.png',209,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,77,1,0,0,88,91,4,0,0,0,3,0,0,0,0,0,0,0,0,0,24,142,1,0,0,79,174,9,0,0,0,2,0,0,0,0,0,0,0,0,0,45,255,1,0,0,184,238,BanGhe
'innovia\\ban-ghe-phong-an-2.png',255,15,0,0,1,17,0,0,0,0,0,0,0,0,0,0,68,1,0,0,46,105,5,0,0,0,3,0,0,0,0,0,0,0,0,0,20,202,1,0,0,51,145,22,0,0,0,4,0,0,0,0,0,0,0,0,0,33,21,2,0,0,0,58,BanGhe
'innovia\\ban-ghe-phong-an-3.png',255,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,87,0,0,0,115,71,4,0,0,0,5,0,0,0,0,0,0,0,0,0,25,166,1,0,0,119,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,98,69,1,0,0,11,44,BanGhe
'innovia\\ban-ghe-phong-an-4.png',255,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,83,2,0,0,74,88,7,0,0,0,5,0,0,0,0,0,0,0,0,0,32,120,1,0,0,92,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,107,1,0,0,12,82,BanGhe
'innovia\\ban-ghe-phong-an-phong-cach-co-dien-1.png',83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,43,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,21,BanGhe
'innovia\\ban-ghe-phong-an-phong-cach-co-dien-2.png',77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,50,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,BanGhe
'innovia\\ban-ghe-phong-an-phong-cach-co-dien-3.png',84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,81,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,9,BanGhe
'innovia\\ban-ghe-phong-an-phong-cach-co-dien-4.png',66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,74,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,7,BanGhe
'innovia\\ban-ghe-phong-an-phongcach-toi-gian-1.png',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,25,158,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,19,255,BanGhe
'innovia\\ban-ghe-phong-an-phongcach-toi-gian-2.png',7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,63,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,37,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,61,255,BanGhe
