@relation image

@attribute image string
@attribute class {Sofa, BanGhe, Ban, Ghe, Cay, Giuong, Ke}

@data
ban-ghe-phong-an-2.png, BanGhe
ban-ghe-phong-an-3.png, BanGhe
ban-ghe-phong-an-4.png, BanGhe
ban-ghe-phong-an-phong-cach-co-dien-1.png, BanGhe
ban-ghe-phong-an-phong-cach-co-dien-2.png, BanGhe
ban-ghe-phong-an-phong-cach-co-dien-3.png, BanGhe
ban-ghe-phong-an-phong-cach-co-dien-4.png, BanGhe
ban-ghe-phong-an-phongcach-toi-gian-1.png, BanGhe
ban-ghe-phong-an-phongcach-toi-gian-2.png, BanGhe
ban-ghe-phong-an-phongcach-toi-gian-3.png, BanGhe
ban-ghe-phong-an-phongcach-toi-gian-4.png, BanGhe
ban-ghe-phong-lam-viec-1.png, BanGhe
ban-ghe-phong-lam-viec-2.png, BanGhe
ban-ghe-phong-lam-viec-3.png, BanGhe
ban-ghe-phong-lam-viec-4.png, BanGhe
ban-tra-nho-mau-sac-trang-nha-1.png, Ban
ban-tra-nho-mau-sac-trang-nha-2.png, Ban
ban-tra-nho-mau-sac-trang-nha-3.png, Ban
ban-tra-nho-mau-sac-trang-nha-4.png, Ban
ban-tra-nho-trang-tri-dau-giuong-1.png, Ban
ban-tra-nho-trang-tri-dau-giuong-2.png, Ban
ban-tra-nho-trang-tri-dau-giuong-3.png, Ban
ban-tra-nho-trang-tri-dau-giuong-4.png, Ban
bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-1.png, Sofa
bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-2.png, Sofa
bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-3.png, Sofa
bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-4.png, Sofa
bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-1.png, BanGhe
bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-2.png, BanGhe
bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-3.png, BanGhe
bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-4.png, BanGhe
Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-1.png, Sofa
Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-2.png, Sofa
Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-3.png, Sofa
Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-4.png, Sofa
Bo-sofa-dai-kem-ghe-nam-thoai-mai-1.png, Sofa
Bo-sofa-dai-kem-ghe-nam-thoai-mai-2.png, Sofa
Bo-sofa-dai-kem-ghe-nam-thoai-mai-3.png, Sofa
Bo-sofa-dai-kem-ghe-nam-thoai-mai-4.png, Sofa
Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-1.png, Sofa
Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-2.png, Sofa
Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-3.png, Sofa
Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-4.png, Sofa
bo-sofa-kem-ghe-don-phong-cach-co-dien-1.png, Sofa
bo-sofa-kem-ghe-don-phong-cach-co-dien-2.png, Sofa
